label_path,audio_type,audio_path,file_id,occupation,channel,place,gender,age_range,experience,text,text_char_count,text_word_count_json,duration_ms_json,sampling_rate_json,file_size_json,audio_exists,error,channels,sample_width,sample_rate,frame_count,duration_sec,rms,mean_abs,dc_offset,peak,peak_dbfs,rms_dbfs,zero_crossing_rate,silence_ratio,frame_rms_mean,frame_rms_min,frame_rms_max,filler_counts_json,total_fillers,word_count,filler_ratio,stt_text,pronunciation_accuracy,wer,off_topic,off_topic_score,off_topic_reason
C:\Users\yoonh\Downloads\Sample (1)\Sample\02.라벨링데이터\01.Management\Female\Experienced\ckmk_d_bm_f_e_36391.json,question,C:\Users\yoonh\Downloads\Sample (1)\Sample\01.원천데이터\01.Management\Female\Experienced\ckmk_q_bm_f_e_36391.wav,ckmk_q_bm_f_e_36391,BM,MOCK,ONLINE,FEMALE,55-,EXPERIENCED,면접자분은 문서화는 왜 해야 한다고 생각하십니까 그 이유에 대해 설명해 주시면 감사하겠습니다,51,12,8800,16kHz,281678,True,,1,2,16000,140800,8.8,2330.176,1213.625,-0.251,24478,-2.533,-22.961,0.073523,0.447727,1481.101,0.0,8972.692,,,,,,,,,,
C:\Users\yoonh\Downloads\Sample (1)\Sample\02.라벨링데이터\01.Management\Female\Experienced\ckmk_d_bm_f_e_36391.json,answer,C:\Users\yoonh\Downloads\Sample (1)\Sample\01.원천데이터\01.Management\Female\Experienced\ckmk_a_bm_f_e_36391.wav,ckmk_a_bm_f_e_36391,BM,MOCK,ONLINE,FEMALE,55-,EXPERIENCED,문서화는 기록이라고 생각합니다. 어 업무를 공유함에 있어서도 매우 중요한 수단이구요. 문서화를 하지 않으면 분실 어 삭제 뭐 그렇게 된다고 생각합니다. 어떠한 정보를 받았을 때 그러한 것들을 문서화 시켜서 하나의 파일로 만들어서 어 그것들을 필요한 그 조직원과 공유를 해야 되고요. 어 저장시켜 놓음로써 또 다음에 그것들을 필요로 하는 조직원들이 사용할 수 있게 하는 점에서 꼭 필요하다고 생각합니다. 문서는 기록이라고 생각합니다.,241,59,48620,16kHz,1555918,True,,1,2,16000,777920,48.62,2064.109,1235.218,-0.149,17607,-5.395,-24.014,0.066729,0.388729,1448.577,0.0,10294.202,"{""어"": 4, ""뭐"": 1, ""그"": 1}",6,59,0.1017,,,,,,
C:\Users\yoonh\Downloads\Sample (1)\Sample\02.라벨링데이터\01.Management\Female\Experienced\ckmk_d_bm_f_e_37353.json,question,C:\Users\yoonh\Downloads\Sample (1)\Sample\01.원천데이터\01.Management\Female\Experienced\ckmk_q_bm_f_e_37353.wav,ckmk_q_bm_f_e_37353,BM,MOCK,ONLINE,FEMALE,45-54,EXPERIENCED,면접자님께서 생각하는 타 지역에서 업무를 수행할 수 있는데 가능한가요,38,9,7800,16kHz,249678,True,,1,2,16000,124800,7.8,618.805,315.604,-0.0,6085,-14.624,-34.478,0.10936,0.561538,398.838,0.0,2381.576,,,,,,,,,,
C:\Users\yoonh\Downloads\Sample (1)\Sample\02.라벨링데이터\01.Management\Female\Experienced\ckmk_d_bm_f_e_37353.json,answer,C:\Users\yoonh\Downloads\Sample (1)\Sample\01.원천데이터\01.Management\Female\Experienced\ckmk_a_bm_f_e_37353.wav,ckmk_a_bm_f_e_37353,BM,MOCK,ONLINE,FEMALE,45-54,EXPERIENCED,네 타 지역에서 업무를 수행하는 것도 가능합니다. 지방에서 근무를 했었던 경험도 있고 외국의 주재원으로 근무를 했었던 경험도 있습니다. 두 경우 모두 다 업무를 수행하는데 문제가 있었던 적은 없습니다. 따라서 타 지역에서 업무를 수행하는 것에는 전혀 문제가 없다고 생각합니다. 어느 지역에서 일을 하느냐가 중요한 게 아니라 어떤 일을 어떻게 잘 하느냐가 중요하다고 생각합니다. 따라서 어느 지역에서 근무를 하든 잘 할 수 있는 준비가 이미 되어 있습니다.,254,65,51220,16kHz,1639118,True,,1,2,16000,819520,51.22,1988.111,1067.777,-0.47,23590,-2.854,-24.34,0.157758,0.398672,1335.234,0.0,8767.049,{},0,65,0.0,,,,,,
C:\Users\yoonh\Downloads\Sample (1)\Sample\02.라벨링데이터\01.Management\Female\Experienced\ckmk_d_bm_f_e_37355.json,question,C:\Users\yoonh\Downloads\Sample (1)\Sample\01.원천데이터\01.Management\Female\Experienced\ckmk_q_bm_f_e_37355.wav,ckmk_q_bm_f_e_37355,BM,MOCK,ONLINE,FEMALE,45-54,EXPERIENCED,네이버 다음 구글 검색을 비교 설명해 보세요,24,7,7180,16kHz,229838,True,,1,2,16000,114880,7.18,1646.192,777.892,-0.138,14680,-6.974,-25.979,0.09537,0.54039,947.941,0.0,6039.142,,,,,,,,,,
C:\Users\yoonh\Downloads\Sample (1)\Sample\02.라벨링데이터\01.Management\Female\Experienced\ckmk_d_bm_f_e_37355.json,answer,C:\Users\yoonh\Downloads\Sample (1)\Sample\01.원천데이터\01.Management\Female\Experienced\ckmk_a_bm_f_e_37355.wav,ckmk_a_bm_f_e_37355,BM,MOCK,ONLINE,FEMALE,45-54,EXPERIENCED,네이버와 다음은 저희에게 많이 친숙하기 때문에 사용하는데 가장 편리합니다. 구글은 정보가 많기는 하지만 사실은 그 많은 정보를 다 비교 분석할 수 있는 시간이 없습니다. 검색은 내가 원하는 것을 바로 찾아낼 수 있는 게 중요한데 다음이나 네이버 같은 경우는 내가 원하는 것을 가장 짧은 시간에 찾을 수 있게 자료를 보여줍니다. 하지만 구글은 방대한 자료량 때문에 내가 원하는 자료를 찾는데 걸리는 시간이 너무 많습니다. 그래서 저는 구글보다는 네이버나 다음을 더 많이 사용합니다.,268,70,57020,16kHz,1824718,True,,1,2,16000,912320,57.02,1671.611,890.26,-0.614,21333,-3.728,-25.846,0.147319,0.406524,1104.851,0.0,10273.618,"{""그"": 1, ""사실은"": 1, ""사실"": 1}",3,70,0.0429,,,,,,
C:\Users\yoonh\Downloads\Sample (1)\Sample\02.라벨링데이터\01.Management\Female\Experienced\ckmk_d_bm_f_e_37356.json,question,C:\Users\yoonh\Downloads\Sample (1)\Sample\01.원천데이터\01.Management\Female\Experienced\ckmk_q_bm_f_e_37356.wav,ckmk_q_bm_f_e_37356,BM,MOCK,ONLINE,FEMALE,45-54,EXPERIENCED,본인의 의견을 주장할 때 강하게 주장하는 편인가요,27,7,6430,16kHz,205838,True,,1,2,16000,102880,6.43,4718.263,2127.447,-0.583,32731,-0.01,-16.833,0.104453,0.537267,2488.764,0.0,19791.502,,,,,,,,,,
C:\Users\yoonh\Downloads\Sample (1)\Sample\02.라벨링데이터\01.Management\Female\Experienced\ckmk_d_bm_f_e_37356.json,answer,C:\Users\yoonh\Downloads\Sample (1)\Sample\01.원천데이터\01.Management\Female\Experienced\ckmk_a_bm_f_e_37356.wav,ckmk_a_bm_f_e_37356,BM,MOCK,ONLINE,FEMALE,45-54,EXPERIENCED,일반적으로는 저의 주장을 강하게 내세우는 편은 아닙니다. 하지만 사람들의 말을 들어보다가 맞지 않는 이야기를 너무 많이 한다거나 할 때는 저의 의견을 강하게 주장하기도 합니다. 본인의 의견을 주장할 때 강하게 주장하는 편인가 라고 대답을 해야 한다면은 그렇다고 도 아니다고도 대답하기가 어렵습니다. 필요에 따라 주장을 하기도 하고 안 하기도 하고 합니다. 제가 그렇게 하지 않아도 문제가 없을 것 같은 경우는 거의 하지 않는 편입니다. 하지만 필요하다고 생각할 때는 저의 주장도 강하게 하는 편입니다.,280,71,54760,16kHz,1752398,True,,1,2,16000,876160,54.76,1913.02,985.044,-0.949,28682,-1.157,-24.675,0.151984,0.423302,1241.637,0.0,11541.422,{},0,71,0.0,,,,,,
C:\Users\yoonh\Downloads\Sample (1)\Sample\02.라벨링데이터\01.Management\Female\Experienced\ckmk_d_bm_f_e_37357.json,question,C:\Users\yoonh\Downloads\Sample (1)\Sample\01.원천데이터\01.Management\Female\Experienced\ckmk_q_bm_f_e_37357.wav,ckmk_q_bm_f_e_37357,BM,MOCK,ONLINE,FEMALE,45-54,EXPERIENCED,현대사회에서 없어서는 안 될 필수적인 직업이 있다면 하나만 말씀해 보시겠습니까.,44,10,10940,16kHz,350158,True,,1,2,16000,175040,10.94,1826.89,737.056,-3.118,28194,-1.306,-25.075,0.095282,0.612431,906.455,0.0,9884.921,,,,,,,,,,
C:\Users\yoonh\Downloads\Sample (1)\Sample\02.라벨링데이터\01.Management\Female\Experienced\ckmk_d_bm_f_e_37357.json,answer,C:\Users\yoonh\Downloads\Sample (1)\Sample\01.원천데이터\01.Management\Female\Experienced\ckmk_a_bm_f_e_37357.wav,ckmk_a_bm_f_e_37357,BM,MOCK,ONLINE,FEMALE,45-54,EXPERIENCED,제 생각에 현대사회에서 없어선 안 될 직업이라고 생각하는 것은 우선 요양보호사와 같은 아프신 분들을 돌봐주시는 분들 그리고 정신의학과 선생님들과 같이 마음을 어루만져주시고 마음을 다 다독여주실 수 있는 분들 이런 직업들은 기계로 대체할 수 없는 직업들이라고 생각합니다. 이런 직업 분들이 없어진다고 그러면은 사람들이 할 수 있는 일을 누가 하겠습니까. 그런 직업들은 없어져서는 안 될 것이라고 생각합니다. 저도 부모님이 불편하실 때 저도 마음이 아플 때 그런 것들에 도움을 많이 받았습니다.,274,68,54100,16kHz,1731278,True,,1,2,16000,865600,54.1,1937.494,1035.532,-0.892,23803,-2.776,-24.564,0.16073,0.409612,1288.431,0.0,8534.463,{},0,68,0.0,,,,,,
